 p V(out) V(in) 
 0.976 3.2682 0.976 
 0.977 3.268 0.977 
 0.978 3.2677 0.978 
 0.979 3.2675 0.979 
 0.98 3.2672 0.98 
 0.981 3.267 0.981 
 0.982 3.2667 0.982 
 0.983 3.2665 0.983 
 0.984 3.2662 0.984 
 0.985 3.266 0.985 
 0.986 3.2657 0.986 
 0.987 3.2655 0.987 
 0.988 3.2652 0.988 
 0.989 3.265 0.989 
 0.99 3.2647 0.99 
 0.991 3.2644 0.991 
 0.992 3.2642 0.992 
 0.993 3.2639 0.993 
 0.994 3.2637 0.994 
 0.995 3.2634 0.995 
 0.996 3.2631 0.996 
 0.997 3.2629 0.997 
 0.998 3.2626 0.998 
 0.999 3.2623 0.999 
 1. 3.262 1. 
 1.001 3.2618 1.001 
 1.002 3.2615 1.002 
 1.003 3.2612 1.003 
 1.004 3.261 1.004 
 1.005 3.2607 1.005 
 1.006 3.2604 1.006 
 1.007 3.2601 1.007 
 1.008 3.2598 1.008 
 1.009 3.2596 1.009 
 1.01 3.2593 1.01 
 1.011 3.259 1.011 
 1.012 3.2587 1.012 
 1.013 3.2584 1.013 
 1.014 3.2581 1.014 
 1.015 3.2578 1.015 
 1.016 3.2576 1.016 
 1.017 3.2573 1.017 
 1.018 3.257 1.018 
 1.019 3.2567 1.019 
 1.02 3.2564 1.02 
 1.021 3.2561 1.021 
 1.022 3.2558 1.022 
 1.023 3.2555 1.023 
 1.024 3.2552 1.024 
 1.025 3.2549 1.025 
 1.026 3.2546 1.026 
 1.027 3.2543 1.027 
 1.028 3.254 1.028 
 1.029 3.2537 1.029 
 1.03 3.2534 1.03 
 1.031 3.253 1.031 
 1.032 3.2527 1.032 
 1.033 3.2524 1.033 
 1.034 3.2521 1.034 
 1.035 3.2518 1.035 
 1.036 3.2515 1.036 
 1.037 3.2512 1.037 
 1.038 3.2508 1.038 
 1.039 3.2505 1.039 
 1.04 3.2502 1.04 
 1.041 3.2499 1.041 
 1.042 3.2496 1.042 
 1.043 3.2492 1.043 
 1.044 3.2489 1.044 
 1.045 3.2486 1.045 
 1.046 3.2482 1.046 
 1.047 3.2479 1.047 
 1.048 3.2476 1.048 
 1.049 3.2472 1.049 
 1.05 3.2469 1.05 
 1.051 3.2466 1.051 
 1.052 3.2462 1.052 
 1.053 3.2459 1.053 
 1.054 3.2456 1.054 
 1.055 3.2452 1.055 
 1.056 3.2449 1.056 
 1.057 3.2445 1.057 
 1.058 3.2442 1.058 
 1.059 3.2438 1.059 
 1.06 3.2435 1.06 
 1.061 3.2431 1.061 
 1.062 3.2428 1.062 
 1.063 3.2424 1.063 
 1.064 3.2421 1.064 
 1.065 3.2417 1.065 
 1.066 3.2414 1.066 
 1.067 3.241 1.067 
 1.068 3.2406 1.068 
 1.069 3.2403 1.069 
 1.07 3.2399 1.07 
 1.071 3.2395 1.071 
 1.072 3.2392 1.072 
 1.073 3.2388 1.073 
 1.074 3.2384 1.074 
 1.075 3.2381 1.075 
 1.076 3.2377 1.076 
 1.077 3.2373 1.077 
 1.078 3.2369 1.078 
 1.079 3.2366 1.079 
 1.08 3.2362 1.08 
 1.081 3.2358 1.081 
 1.082 3.2354 1.082 
 1.083 3.235 1.083 
 1.084 3.2346 1.084 
 1.085 3.2343 1.085 
 1.086 3.2339 1.086 
 1.087 3.2335 1.087 
 1.088 3.2331 1.088 
 1.089 3.2327 1.089 
 1.09 3.2323 1.09 
 1.091 3.2319 1.091 
 1.092 3.2315 1.092 
 1.093 3.2311 1.093 
 1.094 3.2307 1.094 
 1.095 3.2303 1.095 
 1.096 3.2299 1.096 
 1.097 3.2295 1.097 
 1.098 3.2291 1.098 
 1.099 3.2287 1.099 
 1.1 3.2283 1.1 
 1.101 3.2279 1.101 
 1.102 3.2274 1.102 
 1.103 3.227 1.103 
 1.104 3.2266 1.104 
 1.105 3.2262 1.105 
 1.106 3.2258 1.106 
 1.107 3.2253 1.107 
 1.108 3.2249 1.108 
 1.109 3.2245 1.109 
 1.11 3.2241 1.11 
 1.111 3.2236 1.111 
 1.112 3.2232 1.112 
 1.113 3.2228 1.113 
 1.114 3.2223 1.114 
 1.115 3.2219 1.115 
 1.116 3.2215 1.116 
 1.117 3.221 1.117 
 1.118 3.2206 1.118 
 1.119 3.2201 1.119 
 1.12 3.2197 1.12 
 1.121 3.2193 1.121 
 1.122 3.2188 1.122 
 1.123 3.2184 1.123 
 1.124 3.2179 1.124 
 1.125 3.2174 1.125 
 1.126 3.217 1.126 
 1.127 3.2165 1.127 
 1.128 3.2161 1.128 
 1.129 3.2156 1.129 
 1.13 3.2152 1.13 
 1.131 3.2147 1.131 
 1.132 3.2142 1.132 
 1.133 3.2138 1.133 
 1.134 3.2133 1.134 
 1.135 3.2128 1.135 
 1.136 3.2123 1.136 
 1.137 3.2119 1.137 
 1.138 3.2114 1.138 
 1.139 3.2109 1.139 
 1.14 3.2104 1.14 
 1.141 3.2099 1.141 
 1.142 3.2095 1.142 
 1.143 3.209 1.143 
 1.144 3.2085 1.144 
 1.145 3.208 1.145 
 1.146 3.2075 1.146 
 1.147 3.207 1.147 
 1.148 3.2065 1.148 
 1.149 3.206 1.149 
 1.15 3.2055 1.15 
 1.151 3.205 1.151 
 1.152 3.2045 1.152 
 1.153 3.204 1.153 
 1.154 3.2035 1.154 
 1.155 3.203 1.155 
 1.156 3.2025 1.156 
 1.157 3.202 1.157 
 1.158 3.2014 1.158 
 1.159 3.2009 1.159 
 1.16 3.2004 1.16 
 1.161 3.1999 1.161 
 1.162 3.1994 1.162 
 1.163 3.1988 1.163 
 1.164 3.1983 1.164 
 1.165 3.1978 1.165 
 1.166 3.1972 1.166 
 1.167 3.1967 1.167 
 1.168 3.1962 1.168 
 1.169 3.1956 1.169 
 1.17 3.1951 1.17 
 1.171 3.1945 1.171 
 1.172 3.194 1.172 
 1.173 3.1935 1.173 
 1.174 3.1929 1.174 
 1.175 3.1924 1.175 
 1.176 3.1918 1.176 
 1.177 3.1912 1.177 
 1.178 3.1907 1.178 
 1.179 3.1901 1.179 
 1.18 3.1896 1.18 
 1.181 3.189 1.181 
 1.182 3.1884 1.182 
 1.183 3.1879 1.183 
 1.184 3.1873 1.184 
 1.185 3.1867 1.185 
 1.186 3.1862 1.186 
 1.187 3.1856 1.187 
 1.188 3.185 1.188 
 1.189 3.1844 1.189 
 1.19 3.1838 1.19 
 1.191 3.1832 1.191 
 1.192 3.1827 1.192 
 1.193 3.1821 1.193 
 1.194 3.1815 1.194 
 1.195 3.1809 1.195 
 1.196 3.1803 1.196 
 1.197 3.1797 1.197 
 1.198 3.1791 1.198 
 1.199 3.1785 1.199 
 1.2 3.1779 1.2 
 1.201 3.1772 1.201 
 1.202 3.1766 1.202 
 1.203 3.176 1.203 
 1.204 3.1754 1.204 
 1.205 3.1748 1.205 
 1.206 3.1742 1.206 
 1.207 3.1735 1.207 
 1.208 3.1729 1.208 
 1.209 3.1723 1.209 
 1.21 3.1716 1.21 
 1.211 3.171 1.211 
 1.212 3.1704 1.212 
 1.213 3.1697 1.213 
 1.214 3.1691 1.214 
 1.215 3.1684 1.215 
 1.216 3.1678 1.216 
 1.217 3.1671 1.217 
 1.218 3.1665 1.218 
 1.219 3.1658 1.219 
 1.22 3.1652 1.22 
 1.221 3.1645 1.221 
 1.222 3.1639 1.222 
 1.223 3.1632 1.223 
 1.224 3.1625 1.224 
 1.225 3.1619 1.225 
 1.226 3.1612 1.226 
 1.227 3.1605 1.227 
 1.228 3.1598 1.228 
 1.229 3.1591 1.229 
 1.23 3.1585 1.23 
 1.231 3.1578 1.231 
 1.232 3.1571 1.232 
 1.233 3.1564 1.233 
 1.234 3.1557 1.234 
 1.235 3.155 1.235 
 1.236 3.1543 1.236 
 1.237 3.1536 1.237 
 1.238 3.1529 1.238 
 1.239 3.1522 1.239 
 1.24 3.1515 1.24 
 1.241 3.1508 1.241 
 1.242 3.15 1.242 
 1.243 3.1493 1.243 
 1.244 3.1486 1.244 
 1.245 3.1479 1.245 
 1.246 3.1471 1.246 
 1.247 3.1464 1.247 
 1.248 3.1457 1.248 
 1.249 3.1449 1.249 
 1.25 3.1442 1.25 
 1.251 3.1434 1.251 
 1.252 3.1427 1.252 
 1.253 3.1419 1.253 
 1.254 3.1412 1.254 
 1.255 3.1404 1.255 
 1.256 3.1397 1.256 
 1.257 3.1389 1.257 
 1.258 3.1381 1.258 
 1.259 3.1374 1.259 
 1.26 3.1366 1.26 
 1.261 3.1358 1.261 
 1.262 3.1351 1.262 
 1.263 3.1343 1.263 
 1.264 3.1335 1.264 
 1.265 3.1327 1.265 
 1.266 3.1319 1.266 
 1.267 3.1311 1.267 
 1.268 3.1303 1.268 
 1.269 3.1295 1.269 
 1.27 3.1287 1.27 
 1.271 3.1279 1.271 
 1.272 3.1271 1.272 
 1.273 3.1263 1.273 
 1.274 3.1255 1.274 
 1.275 3.1246 1.275 
 1.276 3.1238 1.276 
 1.277 3.123 1.277 
 1.278 3.1221 1.278 
 1.279 3.1213 1.279 
 1.28 3.1205 1.28 
 1.281 3.1196 1.281 
 1.282 3.1188 1.282 
 1.283 3.1179 1.283 
 1.284 3.1171 1.284 
 1.285 3.1162 1.285 
 1.286 3.1154 1.286 
 1.287 3.1145 1.287 
 1.288 3.1136 1.288 
 1.289 3.1128 1.289 
 1.29 3.1119 1.29 
 1.291 3.111 1.291 
 1.292 3.1101 1.292 
 1.293 3.1092 1.293 
 1.294 3.1083 1.294 
 1.295 3.1074 1.295 
 1.296 3.1065 1.296 
 1.297 3.1056 1.297 
 1.298 3.1047 1.298 
 1.299 3.1038 1.299 
 1.3 3.1029 1.3 
 1.301 3.102 1.301 
 1.302 3.1011 1.302 
 1.303 3.1002 1.303 
 1.304 3.0992 1.304 
 1.305 3.0983 1.305 
 1.306 3.0974 1.306 
 1.307 3.0964 1.307 
 1.308 3.0955 1.308 
 1.309 3.0945 1.309 
 1.31 3.0936 1.31 
 1.311 3.0926 1.311 
 1.312 3.0916 1.312 
 1.313 3.0907 1.313 
 1.314 3.0897 1.314 
 1.315 3.0887 1.315 
 1.316 3.0877 1.316 
 1.317 3.0868 1.317 
 1.318 3.0858 1.318 
 1.319 3.0848 1.319 
 1.32 3.0838 1.32 
 1.321 3.0828 1.321 
 1.322 3.0818 1.322 
 1.323 3.0807 1.323 
 1.324 3.0797 1.324 
 1.325 3.0787 1.325 
 1.326 3.0777 1.326 
 1.327 3.0767 1.327 
 1.328 3.0756 1.328 
 1.329 3.0746 1.329 
 1.33 3.0735 1.33 
 1.331 3.0725 1.331 
 1.332 3.0714 1.332 
 1.333 3.0704 1.333 
 1.334 3.0693 1.334 
 1.335 3.0682 1.335 
 1.336 3.0672 1.336 
 1.337 3.0661 1.337 
 1.338 3.065 1.338 
 1.339 3.0639 1.339 
 1.34 3.0628 1.34 
 1.341 3.0617 1.341 
 1.342 3.0606 1.342 
 1.343 3.0595 1.343 
 1.344 3.0584 1.344 
 1.345 3.0573 1.345 
 1.346 3.0561 1.346 
 1.347 3.055 1.347 
 1.348 3.0539 1.348 
 1.349 3.0527 1.349 
 1.35 3.0516 1.35 
 1.351 3.0504 1.351 
 1.352 3.0493 1.352 
 1.353 3.0481 1.353 
 1.354 3.0469 1.354 
 1.355 3.0457 1.355 
 1.356 3.0446 1.356 
 1.357 3.0434 1.357 
 1.358 3.0422 1.358 
 1.359 3.041 1.359 
 1.36 3.0398 1.36 
 1.361 3.0386 1.361 
 1.362 3.0373 1.362 
 1.363 3.0361 1.363 
 1.364 3.0349 1.364 
 1.365 3.0337 1.365 
 1.366 3.0324 1.366 
 1.367 3.0312 1.367 
 1.368 3.0299 1.368 
 1.369 3.0286 1.369 
 1.37 3.0274 1.37 
 1.371 3.0261 1.371 
 1.372 3.0248 1.372 
 1.373 3.0235 1.373 
 1.374 3.0222 1.374 
 1.375 3.0209 1.375 
 1.376 3.0196 1.376 
 1.377 3.0183 1.377 
 1.378 3.017 1.378 
 1.379 3.0156 1.379 
 1.38 3.0143 1.38 
 1.381 3.013 1.381 
 1.382 3.0116 1.382 
 1.383 3.0103 1.383 
 1.384 3.0089 1.384 
 1.385 3.0075 1.385 
 1.386 3.0061 1.386 
 1.387 3.0047 1.387 
 1.388 3.0033 1.388 
 1.389 3.0019 1.389 
 1.39 3.0005 1.39 
 1.391 2.9991 1.391 
 1.392 2.9977 1.392 
 1.393 2.9962 1.393 
 1.394 2.9948 1.394 
 1.395 2.9933 1.395 
 1.396 2.9919 1.396 
 1.397 2.9904 1.397 
 1.398 2.9889 1.398 
 1.399 2.9874 1.399 
 1.4 2.986 1.4 
 1.401 2.9844 1.401 
 1.402 2.9829 1.402 
 1.403 2.9814 1.403 
 1.404 2.9799 1.404 
 1.405 2.9783 1.405 
 1.406 2.9768 1.406 
 1.407 2.9752 1.407 
 1.408 2.9737 1.408 
 1.409 2.9721 1.409 
 1.41 2.9705 1.41 
 1.411 2.9689 1.411 
 1.412 2.9673 1.412 
 1.413 2.9657 1.413 
 1.414 2.9641 1.414 
 1.415 2.9624 1.415 
 1.416 2.9608 1.416 
 1.417 2.9591 1.417 
 1.418 2.9575 1.418 
 1.419 2.9558 1.419 
 1.42 2.9541 1.42 
 1.421 2.9524 1.421 
 1.422 2.9507 1.422 
 1.423 2.949 1.423 
 1.424 2.9472 1.424 
 1.425 2.9455 1.425 
 1.426 2.9437 1.426 
 1.427 2.9419 1.427 
 1.428 2.9402 1.428 
 1.429 2.9384 1.429 
 1.43 2.9366 1.43 
 1.431 2.9348 1.431 
 1.432 2.9329 1.432 
 1.433 2.9311 1.433 
 1.434 2.9292 1.434 
 1.435 2.9274 1.435 
 1.436 2.9255 1.436 
 1.437 2.9236 1.437 
 1.438 2.9217 1.438 
 1.439 2.9198 1.439 
 1.44 2.9178 1.44 
 1.441 2.9159 1.441 
 1.442 2.9139 1.442 
 1.443 2.9119 1.443 
 1.444 2.9099 1.444 
 1.445 2.9079 1.445 
 1.446 2.9059 1.446 
 1.447 2.9038 1.447 
 1.448 2.9018 1.448 
 1.449 2.8997 1.449 
 1.45 2.8976 1.45 
 1.451 2.8955 1.451 
 1.452 2.8934 1.452 
 1.453 2.8913 1.453 
 1.454 2.8891 1.454 
 1.455 2.8869 1.455 
 1.456 2.8847 1.456 
 1.457 2.8825 1.457 
 1.458 2.8803 1.458 
 1.459 2.8781 1.459 
 1.46 2.8758 1.46 
 1.461 2.8735 1.461 
 1.462 2.8712 1.462 
 1.463 2.8689 1.463 
 1.464 2.8665 1.464 
 1.465 2.8642 1.465 
 1.466 2.8618 1.466 
 1.467 2.8594 1.467 
 1.468 2.8569 1.468 
 1.469 2.8545 1.469 
 1.47 2.852 1.47 
 1.471 2.8495 1.471 
 1.472 2.847 1.472 
 1.473 2.8444 1.473 
 1.474 2.8418 1.474 
 1.475 2.8392 1.475 
 1.476 2.8366 1.476 
 1.477 2.8339 1.477 
 1.478 2.8313 1.478 
 1.479 2.8285 1.479 
 1.48 2.8258 1.48 
 1.481 2.823 1.481 
 1.482 2.8202 1.482 
 1.483 2.8174 1.483 
 1.484 2.8145 1.484 
 1.485 2.8116 1.485 
 1.486 2.8087 1.486 
 1.487 2.8057 1.487 
 1.488 2.8027 1.488 
 1.489 2.7997 1.489 
 1.49 2.7966 1.49 
 1.491 2.7935 1.491 
 1.492 2.7904 1.492 
 1.493 2.7872 1.493 
 1.494 2.784 1.494 
 1.495 2.7807 1.495 
 1.496 2.7774 1.496 
 1.497 2.774 1.497 
 1.498 2.7706 1.498 
 1.499 2.7671 1.499 
 1.5 2.7636 1.5 
 1.501 2.7601 1.501 
 1.502 2.7564 1.502 
 1.503 2.7528 1.503 
 1.504 2.7491 1.504 
 1.505 2.7453 1.505 
 1.506 2.7414 1.506 
 1.507 2.7375 1.507 
 1.508 2.7335 1.508 
 1.509 2.7295 1.509 
 1.51 2.7253 1.51 
 1.511 2.7211 1.511 
 1.512 2.7168 1.512 
 1.513 2.7125 1.513 
 1.514 2.708 1.514 
 1.515 2.7035 1.515 
 1.516 2.6988 1.516 
 1.517 2.6941 1.517 
 1.518 2.6892 1.518 
 1.519 2.6842 1.519 
 1.52 2.6791 1.52 
 1.521 2.6739 1.521 
 1.522 2.6686 1.522 
 1.523 2.663 1.523 
 1.524 2.6574 1.524 
 1.525 2.6515 1.525 
 1.526 2.6455 1.526 
 1.527 2.6392 1.527 
 1.528 2.6328 1.528 
 1.529 2.6261 1.529 
 1.53 2.6191 1.53 
 1.531 2.6118 1.531 
 1.532 2.6042 1.532 
 1.533 2.5962 1.533 
 1.534 2.5878 1.534 
 1.535 2.5789 1.535 
 1.536 2.5694 1.536 
 1.537 2.5591 1.537 
 1.538 2.548 1.538 
 1.539 2.5357 1.539 
 1.54 2.5218 1.54 
 1.541 2.5057 1.541 
 1.542 2.4857 1.542 
 1.543 2.4565 1.543 
 1.544 2.366 1.544 
 1.545 2.2467 1.545 
 1.546 2.1274 1.546 
 1.547 2.008 1.547 
 1.548 1.8887 1.548 
 1.549 1.7693 1.549 
 1.55 1.65 1.55 
 1.551 1.5307 1.551 
 1.552 1.4113 1.552 
 1.553 1.292 1.553 
 1.554 1.1726 1.554 
 1.555 1.0533 1.555 
 1.556 0.93399 1.556 
 1.557 0.84346 1.557 
 1.558 0.81435 1.558 
 1.559 0.79434 1.559 
 1.56 0.77819 1.56 
 1.561 0.76433 1.561 
 1.562 0.75203 1.562 
 1.563 0.74088 1.563 
 1.564 0.73063 1.564 
 1.565 0.7211 1.565 
 1.566 0.71217 1.566 
 1.567 0.70375 1.567 
 1.568 0.69576 1.568 
 1.569 0.68816 1.569 
 1.57 0.68089 1.57 
 1.571 0.67392 1.571 
 1.572 0.66721 1.572 
 1.573 0.66075 1.573 
 1.574 0.65452 1.574 
 1.575 0.64848 1.575 
 1.576 0.64263 1.576 
 1.577 0.63696 1.577 
 1.578 0.63144 1.578 
 1.579 0.62608 1.579 
 1.58 0.62085 1.58 
 1.581 0.61575 1.581 
 1.582 0.61078 1.582 
 1.583 0.60592 1.583 
 1.584 0.60117 1.584 
 1.585 0.59652 1.585 
 1.586 0.59198 1.586 
 1.587 0.58752 1.587 
 1.588 0.58315 1.588 
 1.589 0.57887 1.589 
 1.59 0.57467 1.59 
 1.591 0.57054 1.591 
 1.592 0.56649 1.592 
 1.593 0.5625 1.593 
 1.594 0.55859 1.594 
 1.595 0.55474 1.595 
 1.596 0.55095 1.596 
 1.597 0.54722 1.597 
 1.598 0.54355 1.598 
 1.599 0.53994 1.599 
 1.6 0.53638 1.6 
 1.601 0.53287 1.601 
 1.602 0.52941 1.602 
 1.603 0.526 1.603 
 1.604 0.52263 1.604 
 1.605 0.51932 1.605 
 1.606 0.51604 1.606 
 1.607 0.51281 1.607 
 1.608 0.50962 1.608 
 1.609 0.50647 1.609 
 1.61 0.50336 1.61 
 1.611 0.50029 1.611 
 1.612 0.49726 1.612 
 1.613 0.49426 1.613 
 1.614 0.4913 1.614 
 1.615 0.48837 1.615 
 1.616 0.48547 1.616 
 1.617 0.48261 1.617 
 1.618 0.47978 1.618 
 1.619 0.47697 1.619 
 1.62 0.4742 1.62 
 1.621 0.47146 1.621 
 1.622 0.46875 1.622 
 1.623 0.46607 1.623 
 1.624 0.46341 1.624 
 1.625 0.46078 1.625 
 1.626 0.45818 1.626 
 1.627 0.4556 1.627 
 1.628 0.45305 1.628 
 1.629 0.45052 1.629 
 1.63 0.44801 1.63 
 1.631 0.44553 1.631 
 1.632 0.44308 1.632 
 1.633 0.44064 1.633 
 1.634 0.43823 1.634 
 1.635 0.43584 1.635 
 1.636 0.43347 1.636 
 1.637 0.43113 1.637 
 1.638 0.4288 1.638 
 1.639 0.42649 1.639 
 1.64 0.42421 1.64 
 1.641 0.42194 1.641 
 1.642 0.41969 1.642 
 1.643 0.41746 1.643 
 1.644 0.41525 1.644 
 1.645 0.41306 1.645 
 1.646 0.41089 1.646 
 1.647 0.40873 1.647 
 1.648 0.40659 1.648 
 1.649 0.40447 1.649 
 1.65 0.40237 1.65 
 1.651 0.40028 1.651 
 1.652 0.39821 1.652 
 1.653 0.39615 1.653 
 1.654 0.39411 1.654 
 1.655 0.39208 1.655 
 1.656 0.39008 1.656 
 1.657 0.38808 1.657 
 1.658 0.3861 1.658 
 1.659 0.38414 1.659 
 1.66 0.38219 1.66 
 1.661 0.38025 1.661 
 1.662 0.37833 1.662 
 1.663 0.37642 1.663 
 1.664 0.37452 1.664 
 1.665 0.37264 1.665 
 1.666 0.37077 1.666 
 1.667 0.36892 1.667 
 1.668 0.36708 1.668 
 1.669 0.36525 1.669 
 1.67 0.36343 1.67 
 1.671 0.36162 1.671 
 1.672 0.35983 1.672 
 1.673 0.35805 1.673 
 1.674 0.35628 1.674 
 1.675 0.35453 1.675 
 1.676 0.35278 1.676 
 1.677 0.35105 1.677 
 1.678 0.34933 1.678 
 1.679 0.34761 1.679 
 1.68 0.34592 1.68 
 1.681 0.34423 1.681 
 1.682 0.34255 1.682 
 1.683 0.34088 1.683 
 1.684 0.33922 1.684 
 1.685 0.33758 1.685 
 1.686 0.33594 1.686 
 1.687 0.33431 1.687 
 1.688 0.3327 1.688 
 1.689 0.33109 1.689 
 1.69 0.32949 1.69 
 1.691 0.32791 1.691 
 1.692 0.32633 1.692 
 1.693 0.32476 1.693 
 1.694 0.3232 1.694 
 1.695 0.32165 1.695 
 1.696 0.32012 1.696 
 1.697 0.31858 1.697 
 1.698 0.31706 1.698 
 1.699 0.31555 1.699 
 1.7 0.31405 1.7 
 1.701 0.31255 1.701 
 1.702 0.31107 1.702 
 1.703 0.30959 1.703 
 1.704 0.30812 1.704 
 1.705 0.30666 1.705 
 1.706 0.3052 1.706 
 1.707 0.30376 1.707 
 1.708 0.30232 1.708 
 1.709 0.30089 1.709 
 1.71 0.29947 1.71 
 1.711 0.29806 1.711 
 1.712 0.29666 1.712 
 1.713 0.29526 1.713 
 1.714 0.29387 1.714 
 1.715 0.29249 1.715 
 1.716 0.29111 1.716 
 1.717 0.28975 1.717 
 1.718 0.28839 1.718 
 1.719 0.28704 1.719 
 1.72 0.28569 1.72 
 1.721 0.28435 1.721 
 1.722 0.28302 1.722 
 1.723 0.2817 1.723 
 1.724 0.28038 1.724 
 1.725 0.27907 1.725 
 1.726 0.27777 1.726 
 1.727 0.27647 1.727 
 1.728 0.27519 1.728 
 1.729 0.2739 1.729 
 1.73 0.27263 1.73 
 1.731 0.27136 1.731 
 1.732 0.2701 1.732 
 1.733 0.26884 1.733 
 1.734 0.26759 1.734 
 1.735 0.26635 1.735 
 1.736 0.26511 1.736 
 1.737 0.26388 1.737 
 1.738 0.26265 1.738 
 1.739 0.26143 1.739 
 1.74 0.26022 1.74 
 1.741 0.25902 1.741 
 1.742 0.25782 1.742 
 1.743 0.25662 1.743 
 1.744 0.25543 1.744 
 1.745 0.25425 1.745 
 1.746 0.25307 1.746 
 1.747 0.2519 1.747 
 1.748 0.25074 1.748 
 1.749 0.24958 1.749 
 1.75 0.24842 1.75 
 1.751 0.24727 1.751 
 1.752 0.24613 1.752 
 1.753 0.24499 1.753 
 1.754 0.24386 1.754 
 1.755 0.24274 1.755 
 1.756 0.24162 1.756 
 1.757 0.2405 1.757 
 1.758 0.23939 1.758 
 1.759 0.23828 1.759 
 1.76 0.23718 1.76 
 1.761 0.23609 1.761 
 1.762 0.235 1.762 
 1.763 0.23392 1.763 
 1.764 0.23284 1.764 
 1.765 0.23176 1.765 
 1.766 0.23069 1.766 
 1.767 0.22963 1.767 
 1.768 0.22857 1.768 
 1.769 0.22751 1.769 
 1.77 0.22646 1.77 
 1.771 0.22542 1.771 
 1.772 0.22438 1.772 
 1.773 0.22334 1.773 
 1.774 0.22231 1.774 
 1.775 0.22129 1.775 
 1.776 0.22027 1.776 
 1.777 0.21925 1.777 
 1.778 0.21824 1.778 
 1.779 0.21723 1.779 
 1.78 0.21623 1.78 
 1.781 0.21523 1.781 
 1.782 0.21424 1.782 
 1.783 0.21325 1.783 
 1.784 0.21226 1.784 
 1.785 0.21128 1.785 
 1.786 0.21031 1.786 
 1.787 0.20933 1.787 
 1.788 0.20837 1.788 
 1.789 0.2074 1.789 
 1.79 0.20644 1.79 
 1.791 0.20549 1.791 
 1.792 0.20454 1.792 
 1.793 0.20359 1.793 
 1.794 0.20265 1.794 
 1.795 0.20171 1.795 
 1.796 0.20078 1.796 
 1.797 0.19985 1.797 
 1.798 0.19892 1.798 
 1.799 0.198 1.799 
 1.8 0.19708 1.8 
 1.801 0.19617 1.801 
 1.802 0.19526 1.802 
 1.803 0.19435 1.803 
 1.804 0.19345 1.804 
 1.805 0.19255 1.805 
 1.806 0.19166 1.806 
 1.807 0.19077 1.807 
 1.808 0.18988 1.808 
 1.809 0.189 1.809 
 1.81 0.18812 1.81 
 1.811 0.18724 1.811 
 1.812 0.18637 1.812 
 1.813 0.1855 1.813 
 1.814 0.18464 1.814 
 1.815 0.18378 1.815 
 1.816 0.18292 1.816 
 1.817 0.18207 1.817 
 1.818 0.18122 1.818 
 1.819 0.18037 1.819 
 1.82 0.17953 1.82 
 1.821 0.17869 1.821 
 1.822 0.17786 1.822 
 1.823 0.17702 1.823 
 1.824 0.1762 1.824 
 1.825 0.17537 1.825 
 1.826 0.17455 1.826 
 1.827 0.17373 1.827 
 1.828 0.17292 1.828 
 1.829 0.1721 1.829 
 1.83 0.1713 1.83 
 1.831 0.17049 1.831 
 1.832 0.16969 1.832 
 1.833 0.16889 1.833 
 1.834 0.1681 1.834 
 1.835 0.1673 1.835 
 1.836 0.16652 1.836 
 1.837 0.16573 1.837 
 1.838 0.16495 1.838 
 1.839 0.16417 1.839 
 1.84 0.1634 1.84 
 1.841 0.16262 1.841 
 1.842 0.16185 1.842 
 1.843 0.16109 1.843 
 1.844 0.16033 1.844 
 1.845 0.15956 1.845 
 1.846 0.15881 1.846 
 1.847 0.15805 1.847 
 1.848 0.1573 1.848 
 1.849 0.15656 1.849 
 1.85 0.15581 1.85 
 1.851 0.15507 1.851 
 1.852 0.15433 1.852 
 1.853 0.1536 1.853 
 1.854 0.15286 1.854 
 1.855 0.15213 1.855 
 1.856 0.15141 1.856 
 1.857 0.15068 1.857 
 1.858 0.14996 1.858 
 1.859 0.14925 1.859 
 1.86 0.14853 1.86 
 1.861 0.14782 1.861 
 1.862 0.14711 1.862 
 1.863 0.1464 1.863 
 1.864 0.1457 1.864 
 1.865 0.145 1.865 
 1.866 0.1443 1.866 
 1.867 0.14361 1.867 
 1.868 0.14291 1.868 
 1.869 0.14222 1.869 
 1.87 0.14154 1.87 
 1.871 0.14085 1.871 
 1.872 0.14017 1.872 
 1.873 0.13949 1.873 
 1.874 0.13882 1.874 
 1.875 0.13814 1.875 
 1.876 0.13747 1.876 
 1.877 0.1368 1.877 
 1.878 0.13614 1.878 
 1.879 0.13548 1.879 
 1.88 0.13482 1.88 
 1.881 0.13416 1.881 
 1.882 0.1335 1.882 
 1.883 0.13285 1.883 
 1.884 0.1322 1.884 
 1.885 0.13155 1.885 
 1.886 0.13091 1.886 
 1.887 0.13027 1.887 
 1.888 0.12963 1.888 
 1.889 0.12899 1.889 
 1.89 0.12836 1.89 
 1.891 0.12772 1.891 
 1.892 0.12709 1.892 
 1.893 0.12647 1.893 
 1.894 0.12584 1.894 
 1.895 0.12522 1.895 
 1.896 0.1246 1.896 
 1.897 0.12398 1.897 
 1.898 0.12337 1.898 
 1.899 0.12275 1.899 
 1.9 0.12215 1.9 
 1.901 0.12154 1.901 
 1.902 0.12093 1.902 
 1.903 0.12033 1.903 
 1.904 0.11973 1.904 
 1.905 0.11913 1.905 
 1.906 0.11853 1.906 
 1.907 0.11794 1.907 
 1.908 0.11735 1.908 
 1.909 0.11676 1.909 
 1.91 0.11617 1.91 
 1.911 0.11559 1.911 
