 p V(out) V(in) 
 0.227 3.3 0.227 
 0.228 3.3 0.228 
 0.229 3.3 0.229 
 0.23 3.3 0.23 
 0.231 3.3 0.231 
 0.232 3.3 0.232 
 0.233 3.3 0.233 
 0.234 3.3 0.234 
 0.235 3.3 0.235 
 0.236 3.3 0.236 
 0.237 3.3 0.237 
 0.238 3.3 0.238 
 0.239 3.3 0.239 
 0.24 3.3 0.24 
 0.241 3.3 0.241 
 0.242 3.3 0.242 
 0.243 3.3 0.243 
 0.244 3.3 0.244 
 0.245 3.3 0.245 
 0.246 3.3 0.246 
 0.247 3.3 0.247 
 0.248 3.3 0.248 
 0.249 3.3 0.249 
 0.25 3.3 0.25 
 0.251 3.3 0.251 
 0.252 3.3 0.252 
 0.253 3.3 0.253 
 0.254 3.3 0.254 
 0.255 3.3 0.255 
 0.256 3.3 0.256 
 0.257 3.3 0.257 
 0.258 3.3 0.258 
 0.259 3.3 0.259 
 0.26 3.3 0.26 
 0.261 3.3 0.261 
 0.262 3.3 0.262 
 0.263 3.3 0.263 
 0.264 3.3 0.264 
 0.265 3.3 0.265 
 0.266 3.3 0.266 
 0.267 3.3 0.267 
 0.268 3.3 0.268 
 0.269 3.3 0.269 
 0.27 3.3 0.27 
 0.271 3.3 0.271 
 0.272 3.3 0.272 
 0.273 3.3 0.273 
 0.274 3.3 0.274 
 0.275 3.3 0.275 
 0.276 3.3 0.276 
 0.277 3.3 0.277 
 0.278 3.3 0.278 
 0.279 3.3 0.279 
 0.28 3.3 0.28 
 0.281 3.3 0.281 
 0.282 3.3 0.282 
 0.283 3.3 0.283 
 0.284 3.3 0.284 
 0.285 3.3 0.285 
 0.286 3.3 0.286 
 0.287 3.3 0.287 
 0.288 3.3 0.288 
 0.289 3.3 0.289 
 0.29 3.3 0.29 
 0.291 3.3 0.291 
 0.292 3.3 0.292 
 0.293 3.3 0.293 
 0.294 3.3 0.294 
 0.295 3.3 0.295 
 0.296 3.3 0.296 
 0.297 3.3 0.297 
 0.298 3.3 0.298 
 0.299 3.3 0.299 
 0.3 3.3 0.3 
 0.301 3.3 0.301 
 0.302 3.3 0.302 
 0.303 3.3 0.303 
 0.304 3.3 0.304 
 0.305 3.3 0.305 
 0.306 3.3 0.306 
